index,signal,timestamp
235,2633040,2349.827447236
298,2635172,2351.957198324
333,2636316,2353.100032676
1231,2666439,2383.224425337
1265,2667566,2384.350639965
2164,2697697,2414.483293477
2198,2698830,2415.617865043
3097,2728954,2445.74226119
3131,2730082,2446.87266521
4030,2760221,2477.013463717
4064,2761360,2478.152061743
4963,2791484,2508.276541621
4997,2792609,2509.402836421
5895,2822733,2539.527282086
5928,2823858,2540.653605315
6827,2853985,2570.782060973
6861,2855123,2571.916626207
7760,2885248,2602.045145943
7794,2886374,2603.171394664
8694,2916525,2633.324540043
8728,2917660,2634.459072016
